model,category,top_3_layers
Llama-3.2-1B,Age,"L4(0.037), L15(0.036), L14(0.036)"
Llama-3.2-1B,Gender,"L4(0.009), L14(0.009), L15(0.009)"
Llama-3.2-1B,PhysicalAppearance,"L4(0.081), L15(0.077), L14(0.075)"
Llama-3.2-1B,RaceEthnicity,"L15(0.057), L14(0.054), L4(0.052)"
Llama-3.2-1B,Religion,"L15(0.056), L14(0.055), L13(0.050)"
Llama-3.2-3B,Age,"L26(0.045), L27(0.044), L25(0.043)"
Llama-3.2-3B,Gender,"L26(0.010), L25(0.009), L24(0.009)"
Llama-3.2-3B,PhysicalAppearance,"L26(0.106), L25(0.102), L27(0.101)"
Llama-3.2-3B,RaceEthnicity,"L26(0.060), L27(0.059), L25(0.057)"
Llama-3.2-3B,Religion,"L26(0.071), L24(0.069), L25(0.069)"
Salamandra-2B,Age,"L23(0.060), L22(0.059), L21(0.059)"
Salamandra-2B,Gender,"L23(0.015), L21(0.014), L22(0.014)"
Salamandra-2B,PhysicalAppearance,"L23(0.076), L22(0.075), L21(0.073)"
Salamandra-2B,RaceEthnicity,"L23(0.078), L22(0.077), L21(0.074)"
Salamandra-2B,Religion,"L21(0.034), L22(0.033), L23(0.033)"
